mol_id,smiles,antibacterial,Polyketides,cluster
944,CCCCCC1CCC(C)CCCCC(=O)N(C)C(Cc2ccc(OCCO)cc2)C(=O)O1,0,1,3
949,CCC(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC(=O)C(C(=O)C(C)C(C)O)=C3C2=CO1,0,1,3
950,CCC(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC4(O)C(C)C(C)OC(=O)C4C3C2=CO1,0,1,3
951,Cc1cc(O)c(C(=O)c2c(O)ccc(O)c2C)c(O)c1-c1c(C)cc(O)c(C(=O)c2c(O)ccc(O)c2C)c1O,1,1,6
956,CCC(C)C=C(C)C=CC1=CC2=CC3=C(C(C)=O)C(=O)OC3(C)C(=O)C2=CO1,0,1,3
957,CCC(C)C=C(C)C=CC1=CC2=C(Cl)C(=O)C(C)(O)C(CC(C)=O)C2=CO1,0,1,3
958,CC1=CC=C2C=CC(C)=C(C)CC(C)C(=O)C(C(=O)O)C3(C)OC(=C1O2)C(O)=C3O,0,1,4
959,CCC(C)C=C(C)C=CC1=CC2=CC3=C(C(C)=O)C(=O)OC3(C)C(O)C2=CO1,0,1,3
960,CC(=O)C1=C2C=C3C=C(C=CC(C)=CC(C)CCO)OC=C3C(O)C2(C)OC1=O,0,1,3
961,CCC(C)C=C(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC(=O)C(C(C)=O)=C3C2=CO1,0,1,3
970,CCCCCC=CC=CC(=O)OCC1OC(OC2C(CO)OC3(OCc4cc(O)cc(O)c43)C(O)C2OC(=O)C=CC=CCC(O)C(C)=CC=CCCC(C)CC)C(O)C(O)C1O,0,1,3
971,CCC(O)C=CC=CC=CC(=O)OCC1OC(OC2C(CO)OC3(OCc4cc(O)cc(O)c43)C(O)C2OC(=O)C=CC=CCC(O)C(C)=CC=CCCC(C)CC)C(O)C(O)C1O,0,1,7
972,CCC(C)CCC=CC=C(C)C(O)CC=CC=CC(=O)OC1C(O)C(CO)OC2(OCc3cc(O)cc(O)c32)C1O,0,1,3
999,CCC1C(C)OC(O)(C(C)C(O)C(C)C2OC(=O)C=CC=CC(C)C(C(C)C(O)C(C)C3(O)CC(OC4CC(O)C(O)C(C)O4)C(CC)C(C)O3)OC(=O)C=CC=CC2C)CC1OC1CC(O)C(O)C(C)O1,0,1,0
1002,COC=C(C(=O)OC)C(C)=CC=Cc1ccccc1,0,1,5
1003,CC1CC(C)CC(C)C(O)C(C#N)=CC=CCC(C2CCCC2C(=O)O)OC(=O)CC(O)C(C)C1,1,1,7
1004,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,1,1,6
1006,CCC=CC(CC)CCCC1(CC)CC(CC)C(CC(=O)O)OO1,0,1,3
1011,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0,1,5
1120,COc1cc(O)c2c(c1)C1OC1CC(O)C(O)C(=O)C=CCC(C)OC2=O,0,1,1
1123,CCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1127,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,0,1,6
1129,CCCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1130,CCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1131,CCCCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1144,COC=C(C(=O)OC)C(C)=CC=Cc1ccc(Cl)c(OC)c1,0,1,5
1174,CC(=O)C1C(=O)C=C(C)OC1=O,1,1,5
1182,Oc1ccc(C2OCC3OC3O2)cc1,1,1,4
1190,O=C1CC(O)C2c3ccc(O)c4c3C(c3ccc(O)c1c32)C(O)CC4=O,0,1,6
1194,COC1=CC2(C)OC(=O)c3c(O)cc(OC)cc3C2=C(O)C1=O,0,1,6
1195,C=C1C(=O)OC2C(CCCCCC)OC(=O)C12,0,1,3
1196,O=C1C(Cl)=CC2(Oc3cccc4cccc(c34)O2)C23OC12C(O)CCC3=O,0,1,1
1207,CCCCCCCC1OC2=C(C(=O)C(C)O2)C(O)C1(C)O,0,1,3
1208,CCCCCCCC1OC2=C(C(=O)OC2C)C(O)C1(C)O,0,1,3
1220,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(-c3c4cc(OC)cc(OC)c4c(O)c4c(=O)cc(C)oc34)c2c1,0,1,6
1227,CC1CC2OC2C=CC=CC(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,0,1,4
1228,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0,1,6
1235,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1,1,2
1262,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1,1,2
1275,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,1,1,5
1286,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,1,1,3
1321,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,1,1,2
